"t","SystemCodeNumber","occ_max","occ_min","avg_occ","cap","price","time","diff"
"2016-10-12T00:00:00.000000000","Others-CCCPS98","1265","660","1077.9444444444443","3103","11.389551330253877","1752072815186","1"
"2016-10-10T00:00:00.000000000","BHMBCCTHL01","332","269","300.25","387","13.103359173126615","1752072815186","1"
"2016-10-16T00:00:00.000000000","BHMEURBRD01","172","42","109.44444444444444","470","10.93144208037825","1752072815186","1"
"2016-10-10T00:00:00.000000000","BHMEURBRD01","143","123","133.75","470","11.138297872340425","1752072815186","1"
"2016-10-12T00:00:00.000000000","Shopping","1431","564","1194.3333333333333","1920","12.488194444444444","1752072815186","1"
"2016-10-12T00:00:00.000000000","Others-CCCPS8","832","442","714.0555555555555","1322","12.160531181711212","1752072815186","1"
"2016-10-14T00:00:00.000000000","BHMMBMMBX01","601","338","509.3888888888889","687","12.965874171114347","1752072815186","1"
"2016-10-15T00:00:00.000000000","BHMBCCMKT01","224","53","155.33333333333334","577","11.076834199884459","1752072815186","1"
"2016-10-11T00:00:00.000000000","BHMEURBRD01","414","115","347.05555555555554","470","12.953664302600473","1752072815186","1"
"2016-10-10T00:00:00.000000000","BHMNCPHST01","227","163","197.75","1200","10.659166666666668","1752072815186","1"
"2016-10-16T00:00:00.000000000","Others-CCCPS98","1062","530","828.5555555555555","3103","11.068070326207613","1752072815186","1"
"2016-10-13T00:00:00.000000000","Others-CCCPS119a","595","274","517.0","2803","10.737780948983232","1752072815186","1"
"2016-10-12T00:00:00.000000000","BHMEURBRD01","468","121","380.72222222222223","470","13.240189125295508","1752072815186","1"
"2016-10-14T00:00:00.000000000","Others-CCCPS119a","603","197","493.77777777777777","2803","10.704641851983986","1752072815186","1"
"2016-10-12T00:00:00.000000000","Others-CCCPS105a","1474","756","1252.1666666666667","2009","12.493114318898291","1752072815186","1"
"2016-10-12T00:00:00.000000000","Broad Street","674","181","557.9444444444445","690","13.234460547504026","1752072815186","1"
"2016-10-12T00:00:00.000000000","Others-CCCPS202","1418","593","1205.5","2937","11.641811372148451","1752072815186","1"
"2016-10-16T00:00:00.000000000","BHMNCPHST01","480","94","317.1666666666667","1200","11.057222222222222","1752072815186","1"
"2016-10-05T00:00:00.000000000","Broad Street","178","178","178.0","690","11.031884057971014","1752072815186","1"
"2016-10-13T00:00:00.000000000","BHMNCPNST01","348","250","310.77777777777777","485","12.5631156930126","1752072815186","1"
"2016-10-15T00:00:00.000000000","Others-CCCPS119a","703","203","540.3888888888889","2803","10.771157886391565","1752072815186","1"
"2016-10-15T00:00:00.000000000","Broad Street","568","170","475.8888888888889","690","12.758776167471819","1752072815186","1"
"2016-10-10T00:00:00.000000000","Broad Street","160","143","152.25","690","10.882608695652173","1752072815186","1"
"2016-10-10T00:00:00.000000000","BHMNCPNST01","218","210","213.25","485","11.758762886597939","1752072815186","1"
"2016-10-05T00:00:00.000000000","BHMNCPNST01","249","249","249.0","485","12.05360824742268","1752072815186","1"
"2016-10-12T00:00:00.000000000","BHMNCPNST01","406","259","354.55555555555554","485","12.924169530355098","1752072815186","1"
"2016-10-10T00:00:00.000000000","Others-CCCPS98","689","604","658.0","3103","10.848211408314535","1752072815186","1"
"2016-10-14T00:00:00.000000000","Shopping","1428","532","1221.2777777777778","1920","12.544328703703703","1752072815186","1"
"2016-10-15T00:00:00.000000000","BHMMBMMBX01","546","321","478.0","687","12.78311499272198","1752072815186","1"
"2016-10-11T00:00:00.000000000","Others-CCCPS119a","505","152","403.6111111111111","2803","10.575970190668729","1752072815186","1"
"2016-10-11T00:00:00.000000000","Others-CCCPS98","1093","540","945.2222222222222","3103","11.218462419880403","1752072815186","1"
"2016-10-05T00:00:00.000000000","Others-CCCPS8","445","445","445.0","1322","11.346444780635402","1752072815186","1"
"2016-10-15T00:00:00.000000000","Others-CCCPS8","717","378","607.8888888888889","1322","11.839300722810556","1752072815186","1"
"2016-10-16T00:00:00.000000000","Others-CCCPS119a","547","116","392.05555555555554","2803","10.559479922305467","1752072815186","1"
"2016-10-12T00:00:00.000000000","Others-CCCPS135a","3208","1149","2701.4444444444443","3883","12.782842590208029","1752072815186","1"
"2016-10-13T00:00:00.000000000","BHMBCCTHL01","345","178","301.1111111111111","387","13.112259546368072","1752072815186","1"
"2016-10-05T00:00:00.000000000","Shopping","614","614","614.0","1920","11.279166666666667","1752072815186","1"
"2016-10-10T00:00:00.000000000","Shopping","497","375","445.0","1920","10.927083333333334","1752072815186","1"
"2016-10-13T00:00:00.000000000","BHMBCCMKT01","167","51","119.94444444444444","577","10.8315039476218","1752072815186","1"
"2016-10-11T00:00:00.000000000","BHMNCPNST01","331","213","298.05555555555554","485","12.458190148911799","1752072815186","1"
"2016-10-16T00:00:00.000000000","Broad Street","224","73","154.77777777777777","690","10.897262479871175","1752072815186","1"
"2016-10-11T00:00:00.000000000","BHMMBMMBX01","554","249","466.22222222222223","687","12.714539867378296","1752072815186","1"
"2016-10-16T00:00:00.000000000","BHMBCCTHL01","345","92","270.8888888888889","387","12.799885156474303","1752072815186","1"
"2016-10-15T00:00:00.000000000","BHMNCPNST01","331","263","304.72222222222223","485","12.513172966781214","1752072815186","1"
"2016-10-16T00:00:00.000000000","Others-CCCPS202","965","416","759.6111111111111","2937","11.034540158135664","1752072815186","1"
"2016-10-11T00:00:00.000000000","BHMBCCTHL01","293","74","222.61111111111111","387","12.300890037324146","1752072815186","1"
